Date,Open,High,Low,Close,Adj Close,Volume
01/05/2008,40.48,41.77,40.34,41.32,14.780479,0
01/06/2008,41.119999,41.630001,37.709999,37.709999,13.489156,0
01/07/2008,37.720001,37.880001,35.330002,37.189999,13.303145,0
01/08/2008,37.139999,38.119999,36.77,37.57,13.439074,0
01/09/2008,37.200001,37.200001,28.139999,29.200001,10.445062,0
01/10/2008,28.91,28.91,20.219999,23.360001,9.481814,0
01/11/2008,23.370001,23.959999,18.190001,21.309999,8.649722,0
01/12/2008,19.74,23.120001,19.74,23.120001,9.384404,0
01/01/2009,23.67,23.879999,21.24,21.639999,8.793465,0
01/02/2009,21.719999,22.77,19.65,19.65,7.984822,0
01/03/2009,18.74,22.139999,17.860001,21.299999,8.655302,0
01/04/2009,21.610001,24.379999,21.610001,24.379999,9.90687,0
01/05/2009,24.370001,25.92,24.35,25.92,10.532649,0
01/06/2009,26.700001,26.93,25.059999,25.9,10.524522,0
01/07/2009,26.26,28.200001,25.09,28.200001,11.459135,0
01/08/2009,28.67,29.73,28.209999,29.43,11.958948,0
01/09/2009,28.860001,30.940001,28.860001,30.360001,12.336854,0
01/10/2009,29.66,31.51,29.450001,29.5,12.067896,0
01/11/2009,29.610001,31.540001,29.610001,30.639999,12.534247,0
01/12/2009,31.139999,32.169998,30.790001,31.940001,13.066053,0
01/01/2010,32.490002,33.220001,31.42,31.42,12.853336,0
01/02/2010,31.799999,32.549999,30.950001,32.52,13.303324,0
01/03/2010,32.91,34.799999,32.91,34.610001,14.1583,0
01/04/2010,35.009998,36.639999,35.009998,35.459999,14.506024,0
01/05/2010,35.77,35.77,31.91,32.720001,13.397399,0
01/06/2010,32.189999,33.439999,31.16,31.16,12.758648,0
01/07/2010,31.07,33.389999,30.93,33.07,13.540712,0
01/08/2010,33.669998,33.720001,31.559999,31.719999,12.987945,0
01/09/2010,32.57,34.73,32.57,34.68,14.199934,0
01/10/2010,34.779999,36.18,34.48,36.02,14.779245,0
01/11/2010,35.990002,37.119999,35.849998,36.09,14.807964,0
01/12/2010,36.73,38.400002,36.73,38.380001,15.747569,0
01/01/2011,38.779999,39.419998,38.490002,38.889999,15.995143,0
01/02/2011,39.59,40.689999,39.470001,40.279999,16.566837,0
01/03/2011,39.900002,40.759998,38.32,40.759998,16.764256,0
01/04/2011,41.02,42.57,40.77,42.57,17.508694,0
01/05/2011,42.48,42.48,41.029999,42.080002,17.307161,0
01/06/2011,41.360001,41.66,39.939999,41.66,17.134418,0
01/07/2011,42.189999,42.540001,40.669998,40.669998,16.727242,0
01/08/2011,40.32,40.32,35.259998,38.119999,15.678444,0
01/09/2011,37.66,37.66,32.700001,32.799999,13.490372,0
01/10/2011,31.65,37.630001,31.65,36.57,16.059261,0
01/11/2011,35.619999,36.970001,33.509998,35.98,15.800168,0
01/12/2011,35.779999,36.27,34.369999,35.73,15.690383,0
01/01/2012,36.27,38.099998,36.209999,37.93,16.723423,0
01/02/2012,38.709999,40.169998,38.709999,39.830002,17.561138,0
01/03/2012,40.110001,41.080002,39.040001,40.720001,17.953539,0
01/04/2012,41.060001,41.060001,39.040001,40.310001,17.772768,0
01/05/2012,40.43,40.490002,36.830002,37.029999,16.326611,0
01/06/2012,36.139999,38.419998,36.099998,38.419998,16.939459,0
01/07/2012,38.580002,38.889999,37.470001,38.52,16.983551,0
01/08/2012,38.349998,40.540001,38,40.23,17.737495,0
01/09/2012,40.310001,40.950001,39.07,39.189999,17.278957,0
01/10/2012,39.25,39.610001,38.700001,38.790001,17.904472,0
01/11/2012,39.259998,39.43,37.77,39.279999,18.130646,0
01/12/2012,39.23,40,38.880001,39.5,18.232195,0
01/01/2013,40.139999,41.73,40.029999,41.490002,19.61038,0
01/02/2013,41.700001,42.34,41.029999,41.619999,19.671825,0
01/03/2013,41.630001,43.599998,41.630001,43.599998,20.607677,0
01/04/2013,43.299999,44.849998,42.869999,44.849998,21.198494,0
01/05/2013,44.630001,46.369999,44.630001,45.619999,21.562437,0
01/06/2013,45.77,46.5,44.41,45.540001,21.524626,0
01/07/2013,46.029999,48.099998,45.84,47.84,22.611727,0
01/08/2013,48.380001,48.59,46.98,46.98,22.205246,0
01/09/2013,47.23,47.610001,45.380001,46.849998,22.143801,0
01/10/2013,47.189999,48.68,46.310001,48.52,24.077589,0
01/11/2013,48.490002,49.68,48.299999,49.68,24.653231,0
01/12/2013,49.540001,49.580002,47.790001,49.459999,24.544054,0
01/01/2014,49.119999,49.759998,47.799999,47.799999,24.23526,0
01/02/2014,46.880001,49.889999,46.880001,49.889999,25.294922,0
01/03/2014,49.490002,50.459999,49.299999,50.459999,25.58392,0
01/04/2014,50.799999,50.950001,49.240002,49.860001,25.279711,0
01/05/2014,49.919998,50.549999,49.400002,50.549999,25.629553,0
01/06/2014,50.619999,51.880001,50.599998,51.880001,26.303877,0
01/07/2014,52.310001,52.619999,51.029999,51.029999,25.872917,0
01/08/2014,50.82,52.77,50.580002,52.77,26.755125,0
01/09/2014,52.759998,52.77,48.779999,48.779999,24.732136,0
